public_model,public_brand,light_type,internal_model,internal_supplier,internal_product_id
IOO-BAR-0035,IOO,bar_light,LBM-00-040-2-X-24V,private_supplier,437
IOO-BAR-0036,IOO,bar_light,LBM-00-080-2-X-24V,private_supplier,438
IOO-BAR-0037,IOO,bar_light,LBM-00-040-3-X-24V,private_supplier,439
IOO-BAR-0038,IOO,bar_light,LBM-00-080-3-X-24V,private_supplier,440
IOO-LT-0163,IOO,illumination,LBRQ-00-040-6-X,private_supplier,441
IOO-LT-0164,IOO,illumination,LBRQ-00-080-6-X,private_supplier,442
IOO-LT-0165,IOO,illumination,LBRQ-00-120-6-X,private_supplier,443
IOO-LT-0166,IOO,illumination,LBRQ-00-160-6-X,private_supplier,444
IOO-LT-0167,IOO,illumination,LBRQ-00-200-6-X,private_supplier,445
IOO-BAR-0039,IOO,bar_light,R,private_supplier,446
IOO-BAR-0040,IOO,bar_light,HLBQ2-00-065-1-X,private_supplier,447
IOO-BAR-0041,IOO,bar_light,HLBQ2-00-130-1-X,private_supplier,448
IOO-LT-0168,IOO,illumination,HDLBQ-00-065-1-X,private_supplier,449
IOO-LT-0169,IOO,illumination,HDLBQ-00-130-1-X,private_supplier,450
IOO-LT-0170,IOO,illumination,HDLB-00-065-1-X,private_supplier,451
IOO-LT-0171,IOO,illumination,HDLB-00-130-1-X,private_supplier,452
IOO-LT-0172,IOO,illumination,LBRX-00-080-12-X,private_supplier,453
IOO-LT-0173,IOO,illumination,LBRX-00-160-12-X,private_supplier,454
IOO-BAR-0042,IOO,bar_light,HLBS3-00-065-2-X,private_supplier,455
IOO-BAR-0043,IOO,bar_light,HLBS3-00-130-2-X,private_supplier,456
IOO-BAR-0044,IOO,bar_light,HLBS2-00-065-2-X,private_supplier,457
IOO-BAR-0045,IOO,bar_light,HLBS2-00-130-2-X,private_supplier,458
IOO-BAR-0046,IOO,bar_light,HLBS3-00-065-1-X,private_supplier,459
IOO-BAR-0047,IOO,bar_light,HLBS3-00-130-1-X,private_supplier,460
IOO-BAR-0048,IOO,bar_light,HLBS2-00-065-1-X,private_supplier,461
IOO-BAR-0049,IOO,bar_light,HLBS2-00-130-1-X,private_supplier,462
IOO-LT-0174,IOO,illumination,LBRX2-00-080-6-X,private_supplier,463
IOO-LT-0175,IOO,illumination,CAS2-00-020-X-X,private_supplier,464
IOO-LT-0176,IOO,illumination,CAS2-00-040-X-X,private_supplier,465
IOO-LS-0073,IOO,line_scan_light,LSW-00-050-2-X,private_supplier,466
IOO-LS-0074,IOO,line_scan_light,LSW-15-050-2-X,private_supplier,467
IOO-LS-0075,IOO,line_scan_light,LSW-15-070-3-X,private_supplier,468
IOO-LS-0076,IOO,line_scan_light,LSW-15-090-4-X,private_supplier,469
IOO-LS-0077,IOO,line_scan_light,LSW-30-050-2-X,private_supplier,470
IOO-LS-0078,IOO,line_scan_light,LSW-30-070-3-X,private_supplier,471
IOO-LS-0079,IOO,line_scan_light,LSW-30-090-4-X,private_supplier,472
IOO-LS-0080,IOO,line_scan_light,LSW-45-050-2-X,private_supplier,473
IOO-LS-0081,IOO,line_scan_light,LSW-45-070-3-X,private_supplier,474
IOO-LS-0082,IOO,line_scan_light,LSNY-00-075-1-X,private_supplier,475
IOO-LS-0083,IOO,line_scan_light,LSNY-00-150-1-X,private_supplier,476
IOO-LS-0084,IOO,line_scan_light,LSNY-00-225-1-X,private_supplier,477
IOO-LS-0085,IOO,line_scan_light,LSNY-00-300-1-X,private_supplier,478
IOO-LS-0086,IOO,line_scan_light,LSN6-00-075-1-X,private_supplier,479
IOO-LS-0087,IOO,line_scan_light,LSN6-00-150-1-X,private_supplier,480
IOO-LS-0088,IOO,line_scan_light,LSN6-00-225-1-X,private_supplier,481
