severity,issue_type,model,family_name,detail,source_url
medium,low_core_field_coverage,RGBW-V1,DK-RGBW-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-rgbw-v1
medium,low_core_field_coverage,MA-IDD-LC-20-V1,DK-MA-IDD-LC-20-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-ma-idd-lc-20-v1
medium,low_core_field_coverage,MA-IDQ-LC-20-V1,DK-MA-IDQ-LC-20-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-ma-idq-lc-20-v1
medium,low_core_field_coverage,3SWIR-HLBS2-F-HPD3-V1,DK-3SWIR-HLBS2-F-HPD3-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-3swir-hlbs2-f-hpd3-v1
medium,low_core_field_coverage,4NIR-HLBS2-F-HPD3-V1,DK-4NIR-HLBS2-F-HPD3-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-4nir-hlbs2-f-hpd3-v1
medium,low_core_field_coverage,4UV-HLBS2-F-HPD3-V1,DK-4UV-HLBS2-F-HPD3-V1,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/dk-4uv-hlbs2-f-hpd3-v1
medium,low_core_field_coverage,DIRECT ILLUMINATION - HLBQ2 2 ROWS,DIRECT ILLUMINATION - HLBQ2 2 ROWS,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/direct-illumination-hlbq2-2-rows
medium,low_core_field_coverage,DIRECT ILLUMINATION - HLBS2 2 ROWS,DIRECT ILLUMINATION - HLBS2 2 ROWS,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/direct-illumination-hlbs2-2rows
medium,low_core_field_coverage,LBRX-12,DIRECT ILLUMINATION - LBRX 12 ROWS,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/direct-illumination-lbrx-12-rows
medium,low_core_field_coverage,PM2-025,MODULAR ILLUMINATION - PM2-025,"缺少核心字段: 电压, 功率, 电流, 重量, 尺寸",https://www.tms-lite.com/modular-illumination-pm2-025
